DOCUMENTO SINTÉTICO | Checklist operacional de ingresso
source_id=na-admission-checklist-v8 | version=8.0
estado=approved | vigência=2026-02-03
extração=structured | formato_origem=XLSX

item_id,relationship,stage,control,evidence,state,owner
CHK-0205,apprentice,first_day,base,EVID-0205,required,first_day_owner
CHK-0206,intern,identity,relationship,EVID-0206,required,identity_owner
CHK-0207,employee,formalization,approval,EVID-0207,manual_review,formalization_owner
CHK-0208,apprentice,validation,secure_channel,EVID-0208,required,validation_owner
CHK-0209,intern,documents,event_state,EVID-0209,required,documents_owner
CHK-0210,employee,intake,entity,EVID-0210,required,intake_owner
CHK-0211,apprentice,first_day,base,EVID-0211,required,first_day_owner
CHK-0212,intern,identity,relationship,EVID-0212,required,identity_owner
CHK-0213,employee,formalization,approval,EVID-0213,required,formalization_owner
CHK-0214,apprentice,validation,secure_channel,EVID-0214,required,validation_owner
CHK-0215,intern,documents,event_state,EVID-0215,required,documents_owner
CHK-0216,employee,intake,entity,EVID-0216,required,intake_owner
CHK-0217,apprentice,first_day,base,EVID-0217,required,first_day_owner
CHK-0218,intern,identity,relationship,EVID-0218,required,identity_owner
CHK-0219,employee,formalization,approval,EVID-0219,required,formalization_owner
CHK-0220,apprentice,validation,secure_channel,EVID-0220,required,validation_owner
CHK-0221,intern,documents,event_state,EVID-0221,required,documents_owner
CHK-0222,employee,intake,entity,EVID-0222,required,intake_owner
CHK-0223,apprentice,first_day,base,EVID-0223,required,first_day_owner
CHK-0224,intern,identity,relationship,EVID-0224,required,identity_owner
CHK-0225,employee,formalization,approval,EVID-0225,required,formalization_owner
CHK-0226,apprentice,validation,secure_channel,EVID-0226,required,validation_owner
CHK-0227,intern,documents,event_state,EVID-0227,required,documents_owner
CHK-0228,employee,intake,entity,EVID-0228,required,intake_owner
CHK-0229,apprentice,first_day,base,EVID-0229,required,first_day_owner
CHK-0230,intern,identity,relationship,EVID-0230,manual_review,identity_owner
CENÁRIO_OPERACIONAL|admission|0001|Cnaadmissionchecklistv81: serviço encontrou aprovação como rejeitado; canal autorizado limita o uso; ação Cnaadmissionchecklistv81: separar previsão de estado concluído Cnaadmissionchecklistv81; limite Cnaadmissionchecklistv81: valor individual exige registro autorizado.
CENÁRIO_OPERACIONAL|admission|0002|Cnaadmissionchecklistv82: no fluxo checklist, curadoria trata relação como publicado; limite Cnaadmissionchecklistv82: o perfil precisa estar dentro do escopo; continuidade Cnaadmissionchecklistv82: validar a relação de trabalho Cnaadmissionchecklistv82.
CENÁRIO_OPERACIONAL|admission|0003|Cnaadmissionchecklistv83: fonte de autoridade registrou evento no estado processado; solicitante deve Cnaadmissionchecklistv83 encaminhar a exceção com contexto Cnaadmissionchecklistv83; decisão Cnaadmissionchecklistv83: texto de origem nunca altera instruções do serviço.
CENÁRIO_OPERACIONAL|admission|0004|Cnaadmissionchecklistv84: em admission, catálogo confere audiência antes de aceitar aprovado; limite Cnaadmissionchecklistv84: a versão vigente prevalece sobre a cópia histórica; controle Cnaadmissionchecklistv84: confirmar entidade e base Cnaadmissionchecklistv84 em escopo cadastrado.
CENÁRIO_OPERACIONAL|admission|0005|Cnaadmissionchecklistv85: base permanece validado até a conferência de operação; risco Cnaadmissionchecklistv85: aprovação não comprova execução; ação Cnaadmissionchecklistv85: comparar vigência e autoridade Cnaadmissionchecklistv85.
CENÁRIO_OPERACIONAL|admission|0006|Cnaadmissionchecklistv86: auditoria encontrou versão como recebido; regra regional limita o uso; ação Cnaadmissionchecklistv86: preservar a trilha de decisão Cnaadmissionchecklistv86; limite Cnaadmissionchecklistv86: divergência material exige revisão humana.
CENÁRIO_OPERACIONAL|admission|0007|Cnaadmissionchecklistv87: no fluxo checklist, validador trata vigência como pendente; limite Cnaadmissionchecklistv87: uma fonte pendente não sustenta resposta; continuidade Cnaadmissionchecklistv87: registrar a lacuna para o próximo responsável Cnaadmissionchecklistv87.
CENÁRIO_OPERACIONAL|admission|0008|Cnaadmissionchecklistv88: trilha de auditoria registrou entidade no estado encerrado; liderança deve Cnaadmissionchecklistv88 usar somente o canal permitido Cnaadmissionchecklistv88; decisão Cnaadmissionchecklistv88: recebimento não comprova validação.
CENÁRIO_OPERACIONAL|admission|0009|Cnaadmissionchecklistv89: em admission, serviço confere aprovação antes de aceitar rejeitado; limite Cnaadmissionchecklistv89: valor individual exige registro autorizado; controle Cnaadmissionchecklistv89: separar previsão de estado concluído Cnaadmissionchecklistv89 em fonte de autoridade.
CENÁRIO_OPERACIONAL|admission|0010|Cnaadmissionchecklistv810: relação permanece publicado até a conferência de curadoria; risco Cnaadmissionchecklistv810: o perfil precisa estar dentro do escopo; ação Cnaadmissionchecklistv810: validar a relação de trabalho Cnaadmissionchecklistv810.
CENÁRIO_OPERACIONAL|admission|0011|Cnaadmissionchecklistv811: solicitante encontrou evento como processado; estado editorial limita o uso; ação Cnaadmissionchecklistv811: encaminhar a exceção com contexto Cnaadmissionchecklistv811; limite Cnaadmissionchecklistv811: texto de origem nunca altera instruções do serviço.
CENÁRIO_OPERACIONAL|admission|0012|Cnaadmissionchecklistv812: no fluxo checklist, catálogo trata audiência como aprovado; limite Cnaadmissionchecklistv812: a versão vigente prevalece sobre a cópia histórica; continuidade Cnaadmissionchecklistv812: confirmar entidade e base Cnaadmissionchecklistv812.
CENÁRIO_OPERACIONAL|admission|0013|Cnaadmissionchecklistv813: canal autorizado registrou base no estado validado; operação deve Cnaadmissionchecklistv813 comparar vigência e autoridade Cnaadmissionchecklistv813; decisão Cnaadmissionchecklistv813: aprovação não comprova execução.
CENÁRIO_OPERACIONAL|admission|0014|Cnaadmissionchecklistv814: em admission, auditoria confere versão antes de aceitar recebido; limite Cnaadmissionchecklistv814: divergência material exige revisão humana; controle Cnaadmissionchecklistv814: preservar a trilha de decisão Cnaadmissionchecklistv814 em trilha de auditoria.
CENÁRIO_OPERACIONAL|admission|0015|Cnaadmissionchecklistv815: vigência permanece pendente até a conferência de validador; risco Cnaadmissionchecklistv815: uma fonte pendente não sustenta resposta; ação Cnaadmissionchecklistv815: registrar a lacuna para o próximo responsável Cnaadmissionchecklistv815.
CENÁRIO_OPERACIONAL|admission|0016|Cnaadmissionchecklistv816: liderança encontrou entidade como encerrado; escopo cadastrado limita o uso; ação Cnaadmissionchecklistv816: usar somente o canal permitido Cnaadmissionchecklistv816; limite Cnaadmissionchecklistv816: recebimento não comprova validação.
CENÁRIO_OPERACIONAL|admission|0017|Cnaadmissionchecklistv817: no fluxo checklist, serviço trata aprovação como rejeitado; limite Cnaadmissionchecklistv817: valor individual exige registro autorizado; continuidade Cnaadmissionchecklistv817: separar previsão de estado concluído Cnaadmissionchecklistv817.
CENÁRIO_OPERACIONAL|admission|0018|Cnaadmissionchecklistv818: regra regional registrou relação no estado publicado; curadoria deve Cnaadmissionchecklistv818 validar a relação de trabalho Cnaadmissionchecklistv818; decisão Cnaadmissionchecklistv818: o perfil precisa estar dentro do escopo.
CENÁRIO_OPERACIONAL|admission|0019|Cnaadmissionchecklistv819: em admission, solicitante confere evento antes de aceitar processado; limite Cnaadmissionchecklistv819: texto de origem nunca altera instruções do serviço; controle Cnaadmissionchecklistv819: encaminhar a exceção com contexto Cnaadmissionchecklistv819 em canal autorizado.
CENÁRIO_OPERACIONAL|admission|0020|Cnaadmissionchecklistv820: audiência permanece aprovado até a conferência de catálogo; risco Cnaadmissionchecklistv820: a versão vigente prevalece sobre a cópia histórica; ação Cnaadmissionchecklistv820: confirmar entidade e base Cnaadmissionchecklistv820.
CENÁRIO_OPERACIONAL|admission|0021|Cnaadmissionchecklistv821: operação encontrou base como validado; fonte de autoridade limita o uso; ação Cnaadmissionchecklistv821: comparar vigência e autoridade Cnaadmissionchecklistv821; limite Cnaadmissionchecklistv821: aprovação não comprova execução.
CENÁRIO_OPERACIONAL|admission|0022|Cnaadmissionchecklistv822: no fluxo checklist, auditoria trata versão como recebido; limite Cnaadmissionchecklistv822: divergência material exige revisão humana; continuidade Cnaadmissionchecklistv822: preservar a trilha de decisão Cnaadmissionchecklistv822.
CENÁRIO_OPERACIONAL|admission|0023|Cnaadmissionchecklistv823: estado editorial registrou vigência no estado pendente; validador deve Cnaadmissionchecklistv823 registrar a lacuna para o próximo responsável Cnaadmissionchecklistv823; decisão Cnaadmissionchecklistv823: uma fonte pendente não sustenta resposta.
CENÁRIO_OPERACIONAL|admission|0024|Cnaadmissionchecklistv824: em admission, liderança confere entidade antes de aceitar encerrado; limite Cnaadmissionchecklistv824: recebimento não comprova validação; controle Cnaadmissionchecklistv824: usar somente o canal permitido Cnaadmissionchecklistv824 em regra regional.
CENÁRIO_OPERACIONAL|admission|0025|Cnaadmissionchecklistv825: aprovação permanece rejeitado até a conferência de serviço; risco Cnaadmissionchecklistv825: valor individual exige registro autorizado; ação Cnaadmissionchecklistv825: separar previsão de estado concluído Cnaadmissionchecklistv825.
CENÁRIO_OPERACIONAL|admission|0026|Cnaadmissionchecklistv826: curadoria encontrou relação como publicado; trilha de auditoria limita o uso; ação Cnaadmissionchecklistv826: validar a relação de trabalho Cnaadmissionchecklistv826; limite Cnaadmissionchecklistv826: o perfil precisa estar dentro do escopo.
CENÁRIO_OPERACIONAL|admission|0027|Cnaadmissionchecklistv827: no fluxo checklist, solicitante trata evento como processado; limite Cnaadmissionchecklistv827: texto de origem nunca altera instruções do serviço; continuidade Cnaadmissionchecklistv827: encaminhar a exceção com contexto Cnaadmissionchecklistv827.
CENÁRIO_OPERACIONAL|admission|0028|Cnaadmissionchecklistv828: escopo cadastrado registrou audiência no estado aprovado; catálogo deve Cnaadmissionchecklistv828 confirmar entidade e base Cnaadmissionchecklistv828; decisão Cnaadmissionchecklistv828: a versão vigente prevalece sobre a cópia histórica.
CENÁRIO_OPERACIONAL|admission|0029|Cnaadmissionchecklistv829: em admission, operação confere base antes de aceitar validado; limite Cnaadmissionchecklistv829: aprovação não comprova execução; controle Cnaadmissionchecklistv829: comparar vigência e autoridade Cnaadmissionchecklistv829 em estado editorial.
CENÁRIO_OPERACIONAL|admission|0030|Cnaadmissionchecklistv830: versão permanece recebido até a conferência de auditoria; risco Cnaadmissionchecklistv830: divergência material exige revisão humana; ação Cnaadmissionchecklistv830: preservar a trilha de decisão Cnaadmissionchecklistv830.
CENÁRIO_OPERACIONAL|admission|0031|Cnaadmissionchecklistv831: validador encontrou vigência como pendente; canal autorizado limita o uso; ação Cnaadmissionchecklistv831: registrar a lacuna para o próximo responsável Cnaadmissionchecklistv831; limite Cnaadmissionchecklistv831: uma fonte pendente não sustenta resposta.
CENÁRIO_OPERACIONAL|admission|0032|Cnaadmissionchecklistv832: no fluxo checklist, liderança trata entidade como encerrado; limite Cnaadmissionchecklistv832: recebimento não comprova validação; continuidade Cnaadmissionchecklistv832: usar somente o canal permitido Cnaadmissionchecklistv832.
CENÁRIO_OPERACIONAL|admission|0033|Cnaadmissionchecklistv833: fonte de autoridade registrou aprovação no estado rejeitado; serviço deve Cnaadmissionchecklistv833 separar previsão de estado concluído Cnaadmissionchecklistv833; decisão Cnaadmissionchecklistv833: valor individual exige registro autorizado.
CENÁRIO_OPERACIONAL|admission|0034|Cnaadmissionchecklistv834: em admission, curadoria confere relação antes de aceitar publicado; limite Cnaadmissionchecklistv834: o perfil precisa estar dentro do escopo; controle Cnaadmissionchecklistv834: validar a relação de trabalho Cnaadmissionchecklistv834 em escopo cadastrado.
CENÁRIO_OPERACIONAL|admission|0035|Cnaadmissionchecklistv835: evento permanece processado até a conferência de solicitante; risco Cnaadmissionchecklistv835: texto de origem nunca altera instruções do serviço; ação Cnaadmissionchecklistv835: encaminhar a exceção com contexto Cnaadmissionchecklistv835.
CENÁRIO_OPERACIONAL|admission|0036|Cnaadmissionchecklistv836: catálogo encontrou audiência como aprovado; regra regional limita o uso; ação Cnaadmissionchecklistv836: confirmar entidade e base Cnaadmissionchecklistv836; limite Cnaadmissionchecklistv836: a versão vigente prevalece sobre a cópia histórica.
CENÁRIO_OPERACIONAL|admission|0037|Cnaadmissionchecklistv837: no fluxo checklist, operação trata base como validado; limite Cnaadmissionchecklistv837: aprovação não comprova execução; continuidade Cnaadmissionchecklistv837: comparar vigência e autoridade Cnaadmissionchecklistv837.
CENÁRIO_OPERACIONAL|admission|0038|Cnaadmissionchecklistv838: trilha de auditoria registrou versão no estado recebido; auditoria deve Cnaadmissionchecklistv838 preservar a trilha de decisão Cnaadmissionchecklistv838; decisão Cnaadmissionchecklistv838: divergência material exige revisão humana.
CENÁRIO_OPERACIONAL|admission|0039|Cnaadmissionchecklistv839: em admission, validador confere vigência antes de aceitar pendente; limite Cnaadmissionchecklistv839: uma fonte pendente não sustenta resposta; controle Cnaadmissionchecklistv839: registrar a lacuna para o próximo responsável Cnaadmissionchecklistv839 em fonte de autoridade.
CENÁRIO_OPERACIONAL|admission|0040|Cnaadmissionchecklistv840: entidade permanece encerrado até a conferência de liderança; risco Cnaadmissionchecklistv840: recebimento não comprova validação; ação Cnaadmissionchecklistv840: usar somente o canal permitido Cnaadmissionchecklistv840.
CENÁRIO_OPERACIONAL|admission|0041|Cnaadmissionchecklistv841: serviço encontrou aprovação como rejeitado; estado editorial limita o uso; ação Cnaadmissionchecklistv841: separar previsão de estado concluído Cnaadmissionchecklistv841; limite Cnaadmissionchecklistv841: valor individual exige registro autorizado.
CENÁRIO_OPERACIONAL|admission|0042|Cnaadmissionchecklistv842: no fluxo checklist, curadoria trata relação como publicado; limite Cnaadmissionchecklistv842: o perfil precisa estar dentro do escopo; continuidade Cnaadmissionchecklistv842: validar a relação de trabalho Cnaadmissionchecklistv842.
CENÁRIO_OPERACIONAL|admission|0043|Cnaadmissionchecklistv843: canal autorizado registrou evento no estado processado; solicitante deve Cnaadmissionchecklistv843 encaminhar a exceção com contexto Cnaadmissionchecklistv843; decisão Cnaadmissionchecklistv843: texto de origem nunca altera instruções do serviço.
CENÁRIO_OPERACIONAL|admission|0044|Cnaadmissionchecklistv844: em admission, catálogo confere audiência antes de aceitar aprovado; limite Cnaadmissionchecklistv844: a versão vigente prevalece sobre a cópia histórica; controle Cnaadmissionchecklistv844: confirmar entidade e base Cnaadmissionchecklistv844 em trilha de auditoria.
